# packages in environment at /home/kmm/miniconda3/envs/alfa-class-env:
#
# Name                           Version          Build                    Channel
fonts-conda-forge                1                0                        conda-forge
fonttools                        4.59.0           py312h8a5da7c_0          conda-forge
fqdn                             1.5.1            pyhd8ed1ab_1             conda-forge
freetype                         2.13.3           ha770c72_1               conda-forge
gast                             0.6.0            pyhd8ed1ab_0             conda-forge
giflib                           5.2.2            hd590300_0               conda-forge
gitdb                            4.0.12           pypi_0                   pypi
gitpython                        3.1.45           pypi_0                   pypi
google-pasta                     0.2.0            pyhd8ed1ab_2             conda-forge
graphite2                        1.3.14           h5888daf_0               conda-forge
grpcio                           1.67.1           py312hacea422_2          conda-forge
h11                              0.16.0           pyhd8ed1ab_0             conda-forge
h2                               4.2.0            pyhd8ed1ab_0             conda-forge
h5py                             3.14.0           nompi_py312h3faca00_100  conda-forge
harfbuzz                         11.3.2           hbb57e21_0               conda-forge
hdf5                             1.14.6           nompi_h6e4c0c1_102       conda-forge
hpack                            4.1.0            pyhd8ed1ab_0             conda-forge
htmlmin                          0.1.12           pypi_0                   pypi
httpcore                         1.0.9            pyh29332c3_0             conda-forge
httpx                            0.28.1           pyhd8ed1ab_0             conda-forge
hyperframe                       6.1.0            pyhd8ed1ab_0             conda-forge
icu                              75.1             he02047a_0               conda-forge
idna                             3.10             pyhd8ed1ab_1             conda-forge
imagehash                        4.3.2            pypi_0                   pypi
importlib-metadata               8.7.0            pyhe01879c_1             conda-forge
iniconfig                        2.0.0            pyhd8ed1ab_1             conda-forge
ipykernel                        6.29.5           pyh3099207_0             conda-forge
ipython                          9.4.0            pyhfa0c392_0             conda-forge
ipython_pygments_lexers          1.1.1            pyhd8ed1ab_0             conda-forge
isoduration                      20.11.0          pyhd8ed1ab_1             conda-forge
jedi                             0.19.2           pyhd8ed1ab_1             conda-forge
jinja2                           3.1.6            pyhd8ed1ab_0             conda-forge
joblib                           1.1.1            pypi_0                   pypi
json5                            0.12.0           pyhd8ed1ab_0             conda-forge
jsonpointer                      3.0.0            py312h7900ff3_1          conda-forge
jsonschema                       4.25.0           pyhe01879c_0             conda-forge
jsonschema-specifications        2025.4.1         pyh29332c3_0             conda-forge
jsonschema-with-format-nongpl    4.25.0           he01879c_0               conda-forge
jupyter-lsp                      2.2.6            pyhe01879c_0             conda-forge
jupyter_client                   8.6.3            pyhd8ed1ab_1             conda-forge
jupyter_core                     5.8.1            pyh31011fe_0             conda-forge
jupyter_events                   0.12.0           pyh29332c3_0             conda-forge
jupyter_server                   2.16.0           pyhe01879c_0             conda-forge
jupyter_server_terminals         0.5.3            pyhd8ed1ab_1             conda-forge
jupyterlab                       4.4.5            pyhd8ed1ab_0             conda-forge
jupyterlab_pygments              0.3.0            pyhd8ed1ab_2             conda-forge
jupyterlab_server                2.27.3           pyhd8ed1ab_1             conda-forge
keras                            3.10.0           pyh753f3f9_0             conda-forge
keyutils                         1.6.1            h166bdaf_0               conda-forge
kiwisolver                       1.4.8            py312h68727a3_1          conda-forge
krb5                             1.21.3           h659f571_0               conda-forge
lark                             1.2.2            pyhd8ed1ab_1             conda-forge
lcms2                            2.17             h717163a_0               conda-forge
ld_impl_linux-64                 2.44             h1423503_1               conda-forge
lerc                             4.0.0            h0aef613_1               conda-forge
libabseil                        20240722.0       cxx17_hbbce691_4         conda-forge
libaec                           1.1.4            h3f801dc_0               conda-forge
libblas                          3.9.0            32_h59b9bed_openblas     conda-forge
libboost                         1.88.0           h6c02f8c_0               conda-forge
libbrotlicommon                  1.1.0            hb9d3cd8_3               conda-forge
libbrotlidec                     1.1.0            hb9d3cd8_3               conda-forge
libbrotlienc                     1.1.0            hb9d3cd8_3               conda-forge
libcblas                         3.9.0            32_he106b2a_openblas     conda-forge
libclang-cpp20.1                 20.1.8           default_hddf928d_0       conda-forge
libclang13                       20.1.8           default_ha444ac7_0       conda-forge
libcups                          2.3.3            hb8b1518_5               conda-forge
libcurl                          8.14.1           h332b0f4_0               conda-forge
libdeflate                       1.24             h86f0d12_0               conda-forge
libdrm                           2.4.125          hb9d3cd8_0               conda-forge
libedit                          3.1.20250104     pl5321h7949ede_0         conda-forge
libegl                           1.7.0            ha4b6fd6_2               conda-forge
libev                            4.33             hd590300_2               conda-forge
libexpat                         2.7.1            hecca717_0               conda-forge
libffi                           3.4.6            h2dba641_1               conda-forge
libfreetype                      2.13.3           ha770c72_1               conda-forge
libfreetype6                     2.13.3           h48d6fc4_1               conda-forge
libgcc                           15.1.0           h767d61c_3               conda-forge
libgcc-ng                        15.1.0           h69a702a_3               conda-forge
libgfortran                      15.1.0           h69a702a_3               conda-forge
libgfortran5                     15.1.0           hcea5267_3               conda-forge
libgl                            1.7.0            ha4b6fd6_2               conda-forge
libglib                          2.84.2           h3618099_0               conda-forge
libglvnd                         1.7.0            ha4b6fd6_2               conda-forge
libglx                           1.7.0            ha4b6fd6_2               conda-forge
libgomp                          15.1.0           h767d61c_3               conda-forge
libgrpc                          1.67.1           h25350d4_2               conda-forge
libiconv                         1.18             h4ce23a2_1               conda-forge
libjpeg-turbo                    3.1.0            hb9d3cd8_0               conda-forge
liblapack                        3.9.0            32_h7ac8fdf_openblas     conda-forge
liblightgbm                      4.6.0            cpu_h1ca3010_3           conda-forge
libllvm20                        20.1.8           hecd9e04_0               conda-forge
liblzma                          5.8.1            hb9d3cd8_2               conda-forge
libnghttp2                       1.64.0           h161d5f1_0               conda-forge
libnsl                           2.0.1            hb9d3cd8_1               conda-forge
libntlm                          1.8              hb9d3cd8_0               conda-forge
libopenblas                      0.3.30           pthreads_h94d23a6_0      conda-forge
libopengl                        1.7.0            ha4b6fd6_2               conda-forge
libpciaccess                     0.18             hb9d3cd8_0               conda-forge
libpng                           1.6.50           h943b412_0               conda-forge
libpq                            17.5             h27ae623_0               conda-forge
libprotobuf                      5.28.3           h6128344_1               conda-forge
libre2-11                        2024.07.02       hbbce691_2               conda-forge
libsodium                        1.0.20           h4ab18f5_0               conda-forge
libsqlite                        3.50.3           hee844dc_1               conda-forge
libssh2                          1.11.1           hcf80075_0               conda-forge
libstdcxx                        15.1.0           h8f9b012_3               conda-forge
libstdcxx-ng                     15.1.0           h4852527_3               conda-forge
libtiff                          4.7.0            hf01ce69_5               conda-forge
libuuid                          2.38.1           h0b41bf4_0               conda-forge
libwebp-base                     1.6.0            hd42ef1d_0               conda-forge
libxcb                           1.17.0           h8a09558_0               conda-forge
libxcrypt                        4.4.36           hd590300_1               conda-forge
libxgboost                       3.0.2            cpu_h97e353d_0           conda-forge
libxkbcommon                     1.10.0           h65c71a3_0               conda-forge
libxml2                          2.13.8           h4bc477f_0               conda-forge
libxslt                          1.1.43           h7a3aeb2_0               conda-forge
libzlib                          1.3.1            hb9d3cd8_2               conda-forge
lightgbm                         4.6.0            cpu_py_3                 conda-forge
markdown                         3.8.2            pyhd8ed1ab_0             conda-forge
markdown-it-py                   3.0.0            pyhd8ed1ab_1             conda-forge
markupsafe                       2.1.5            pypi_0                   pypi
matplotlib                       3.10.3           py312h7900ff3_0          conda-forge
matplotlib-base                  3.10.3           py312hd3ec401_0          conda-forge
matplotlib-inline                0.1.7            pyhd8ed1ab_1             conda-forge
mccabe                           0.7.0            pyhd8ed1ab_1             conda-forge
mdurl                            0.1.2            pyhd8ed1ab_1             conda-forge
missingno                        0.5.2            pypi_0                   pypi
mistune                          3.1.3            pyh29332c3_0             conda-forge
ml_dtypes                        0.4.0            py312hf9745cd_2          conda-forge
multimethod                      2.0              pypi_0                   pypi
munkres                          1.1.4            pyhd8ed1ab_1             conda-forge
mypy_extensions                  1.1.0            pyha770c72_0             conda-forge
namex                            0.1.0            pyhd8ed1ab_0             conda-forge
narwhals                         1.48.0           pyhe01879c_0             conda-forge
nbclient                         0.10.2           pyhd8ed1ab_0             conda-forge
nbconvert-core                   7.16.6           pyh29332c3_0             conda-forge
nbformat                         5.10.4           pyhd8ed1ab_1             conda-forge
ncurses                          6.5              h2d0b736_3               conda-forge
nest-asyncio                     1.6.0            pyhd8ed1ab_1             conda-forge
networkx                         3.5              pypi_0                   pypi
notebook                         7.4.4            pyhd8ed1ab_0             conda-forge
notebook-shim                    0.2.4            pyhd8ed1ab_1             conda-forge
numpy                            2.3.1            py312h33ff503_1          conda-forge
ocl-icd                          2.3.3            hb9d3cd8_0               conda-forge
opencl-headers                   2025.06.13       h5888daf_0               conda-forge
openjpeg                         2.5.3            h5fbd93e_0               conda-forge
openldap                         2.6.10           he970967_0               conda-forge
openpyxl                         3.1.5            py312h710cb58_1          conda-forge
openssl                          3.5.1            h7b32b05_0               conda-forge
opt_einsum                       3.4.0            pyhd8ed1ab_1             conda-forge
optree                           0.16.0           py312h68727a3_0          conda-forge
overrides                        7.7.0            pyhd8ed1ab_1             conda-forge
packaging                        25.0             pyh29332c3_1             conda-forge
pandas                           2.3.1            py312hf79963d_0          conda-forge
pandas-profiling                 3.2.0            pypi_0                   pypi
pandocfilters                    1.5.0            pyhd8ed1ab_0             conda-forge
parso                            0.8.4            pyhd8ed1ab_1             conda-forge
pathspec                         0.12.1           pyhd8ed1ab_1             conda-forge
patsy                            1.0.1            pyhd8ed1ab_1             conda-forge
pcre2                            10.45            hc749103_0               conda-forge
pexpect                          4.9.0            pyhd8ed1ab_1             conda-forge
phik                             0.12.5           pypi_0                   pypi
pickleshare                      0.7.5            pyhd8ed1ab_1004          conda-forge
pillow                           11.3.0           py312h80c1187_0          conda-forge
pip                              25.1.1           pyh8b19718_0             conda-forge
pixman                           0.46.4           h537e5f6_0               conda-forge
platformdirs                     4.3.8            pyhe01879c_0             conda-forge
plotly                           6.2.0            pyhd8ed1ab_0             conda-forge
pluggy                           1.6.0            pyhd8ed1ab_0             conda-forge
prometheus_client                0.22.1           pyhd8ed1ab_0             conda-forge
prompt-toolkit                   3.0.51           pyha770c72_0             conda-forge
protobuf                         5.28.3           py312h2ec8cdc_0          conda-forge
psutil                           7.0.0            py312h66e93f0_0          conda-forge
pthread-stubs                    0.4              hb9d3cd8_1002            conda-forge
ptyprocess                       0.7.0            pyhd8ed1ab_1             conda-forge
pure_eval                        0.2.3            pyhd8ed1ab_1             conda-forge
py-xgboost                       3.0.2            cpu_pyhc5f55e3_0         conda-forge
pyarrow                          21.0.0           pypi_0                   pypi
pycodestyle                      2.14.0           pyhd8ed1ab_0             conda-forge
pycparser                        2.22             pyh29332c3_1             conda-forge
pydantic                         2.11.7           pypi_0                   pypi
pydantic-core                    2.33.2           pypi_0                   pypi
pydeck                           0.9.1            pypi_0                   pypi
pyflakes                         3.4.0            pyhd8ed1ab_0             conda-forge
pygments                         2.19.2           pyhd8ed1ab_0             conda-forge
pyparsing                        3.2.3            pyhd8ed1ab_1             conda-forge
pyside6                          6.9.1            py312hdb827e4_0          conda-forge
pysocks                          1.7.1            pyha55dd90_7             conda-forge
pytest                           8.4.1            pyhd8ed1ab_0             conda-forge
python                           3.12.11          h9e4cc4f_0_cpython       conda-forge
python-dateutil                  2.9.0.post0      pyhe01879c_2             conda-forge
python-fastjsonschema            2.21.1           pyhd8ed1ab_0             conda-forge
python-flatbuffers               25.2.10          pyhbc23db3_0             conda-forge
python-json-logger               2.0.7            pyhd8ed1ab_0             conda-forge
python-tzdata                    2025.2           pyhd8ed1ab_0             conda-forge
python_abi                       3.12             8_cp312                  conda-forge
pytz                             2025.2           pyhd8ed1ab_0             conda-forge
pywavelets                       1.8.0            pypi_0                   pypi
pyyaml                           6.0.2            py312h178313f_2          conda-forge
pyzmq                            27.0.0           py312hbf22597_0          conda-forge
qhull                            2020.2           h434a139_5               conda-forge
qt6-main                         6.9.1            h0384650_1               conda-forge
re2                              2024.07.02       h9925aae_2               conda-forge
readline                         8.2              h8c095d6_2               conda-forge
referencing                      0.36.2           pyh29332c3_0             conda-forge
requests                         2.32.4           pyhd8ed1ab_0             conda-forge
rfc3339-validator                0.1.4            pyhd8ed1ab_1             conda-forge
rfc3986-validator                0.1.1            pyh9f0ad1d_0             conda-forge
rfc3987-syntax                   1.1.0            pyhe01879c_1             conda-forge
rich                             14.0.0           pyh29332c3_0             conda-forge
rpds-py                          0.26.0           py312h680f630_0          conda-forge
scikit-learn                     1.7.1            py312h4f0b9e3_0          conda-forge
scipy                            1.16.0           py312hf734454_0          conda-forge
seaborn                          0.13.2           hd8ed1ab_3               conda-forge
seaborn-base                     0.13.2           pyhd8ed1ab_3             conda-forge
send2trash                       1.8.3            pyh0d859eb_1             conda-forge
setuptools                       80.9.0           pyhff2d567_0             conda-forge
six                              1.17.0           pyhe01879c_1             conda-forge
smmap                            5.0.2            pypi_0                   pypi
snappy                           1.2.2            h03e3b7b_0               conda-forge
sniffio                          1.3.1            pyhd8ed1ab_1             conda-forge
soupsieve                        2.7              pyhd8ed1ab_0             conda-forge
stack_data                       0.6.3            pyhd8ed1ab_1             conda-forge
statsmodels                      0.14.5           py312h8b63200_0          conda-forge
streamlit                        1.47.0           pypi_0                   pypi
tangled-up-in-unicode            0.2.0            pypi_0                   pypi
tenacity                         9.1.2            pypi_0                   pypi
tensorboard                      2.18.0           pyhd8ed1ab_1             conda-forge
tensorboard-data-server          0.7.0            py312hda17c39_2          conda-forge
tensorflow                       2.18.0           cpu_py312h69ecde4_50     conda-forge
tensorflow-base                  2.18.0           cpu_py312h46abb6e_50     conda-forge
tensorflow-estimator             2.18.0           cpu_py312ha83ecfc_50     conda-forge
termcolor                        3.1.0            pyhd8ed1ab_0             conda-forge
terminado                        0.18.1           pyh0d859eb_0             conda-forge
threadpoolctl                    3.6.0            pyhecae5ae_0             conda-forge
tinycss2                         1.4.0            pyhd8ed1ab_0             conda-forge
tk                               8.6.13           noxft_hd72426e_102       conda-forge
toml                             0.10.2           pypi_0                   pypi
tomli                            2.2.1            pyhd8ed1ab_1             conda-forge
tomlkit                          0.13.2           py312h06a4308_0
tornado                          6.5.1            py312h66e93f0_0          conda-forge
tqdm                             4.67.1           pyhd8ed1ab_1             conda-forge
traitlets                        5.14.3           pyhd8ed1ab_1             conda-forge
types-python-dateutil            2.9.0.20250708   pyhd8ed1ab_0             conda-forge
typing-extensions                4.14.1           h4440ef1_0               conda-forge
typing-inspection                0.4.1            pypi_0                   pypi
typing_extensions                4.14.1           pyhe01879c_0             conda-forge
typing_utils                     0.1.0            pyhd8ed1ab_1             conda-forge
tzdata                           2025b            h78e105d_0               conda-forge
unicodedata2                     16.0.0           py312h66e93f0_0          conda-forge
uri-template                     1.3.0            pyhd8ed1ab_1             conda-forge
urllib3                          2.5.0            pyhd8ed1ab_0             conda-forge
visions                          0.7.4            pypi_0                   pypi
watchdog                         6.0.0            pypi_0                   pypi
wayland                          1.24.0           h3e06ad9_0               conda-forge
wcwidth                          0.2.13           pyhd8ed1ab_1             conda-forge
webcolors                        24.11.1          pyhd8ed1ab_0             conda-forge
webencodings                     0.5.1            pyhd8ed1ab_3             conda-forge
websocket-client                 1.8.0            pyhd8ed1ab_1             conda-forge
werkzeug                         3.1.3            pyhd8ed1ab_1             conda-forge
wheel                            0.45.1           pyhd8ed1ab_1             conda-forge
wrapt                            1.17.2           py312h66e93f0_0          conda-forge
xcb-util                         0.4.1            h4f16b4b_2               conda-forge
xcb-util-cursor                  0.1.5            hb9d3cd8_0               conda-forge
xcb-util-image                   0.4.0            hb711507_2               conda-forge
xcb-util-keysyms                 0.4.1            hb711507_0               conda-forge
xcb-util-renderutil              0.3.10           hb711507_0               conda-forge
xcb-util-wm                      0.4.2            hb711507_0               conda-forge
xgboost                          3.0.2            cpu_pyhc1a9e11_0         conda-forge
xkeyboard-config                 2.45             hb9d3cd8_0               conda-forge
xlrd                             2.0.1            pyhd8ed1ab_3             conda-forge
xorg-libice                      1.1.2            hb9d3cd8_0               conda-forge
xorg-libsm                       1.2.6            he73a12e_0               conda-forge
xorg-libx11                      1.8.12           h4f16b4b_0               conda-forge
xorg-libxau                      1.0.12           hb9d3cd8_0               conda-forge
xorg-libxcomposite               0.4.6            hb9d3cd8_2               conda-forge
xorg-libxcursor                  1.2.3            hb9d3cd8_0               conda-forge
xorg-libxdamage                  1.1.6            hb9d3cd8_0               conda-forge
xorg-libxdmcp                    1.1.5            hb9d3cd8_0               conda-forge
xorg-libxext                     1.3.6            hb9d3cd8_0               conda-forge
xorg-libxfixes                   6.0.1            hb9d3cd8_0               conda-forge
xorg-libxi                       1.8.2            hb9d3cd8_0               conda-forge
xorg-libxrandr                   1.5.4            hb9d3cd8_0               conda-forge
xorg-libxrender                  0.9.12           hb9d3cd8_0               conda-forge
xorg-libxtst                     1.2.5            hb9d3cd8_3               conda-forge
xorg-libxxf86vm                  1.1.6            hb9d3cd8_0               conda-forge
xyzservices                      2025.4.0         pyhd8ed1ab_0             conda-forge
yaml                             0.2.5            h7f98852_2               conda-forge
zeromq                           4.3.5            h3b0a872_7               conda-forge
zipp                             3.23.0           pyhd8ed1ab_0             conda-forge
zstandard                        0.23.0           py312h66e93f0_2          conda-forge
zstd                             1.5.7            hb8e6e7a_2               conda-forge
